Timestamp,UTC Nanoseconds,MainObject,Camera.x,Camera.y,Camera.z,Frwd.x,Frwd.y,Frwd.z,Rot.x,Rot.y,Rot.z,Gaze.x,Gaze.y,Gaze.z,Gazedir.x,Gazedir.y,Gazedir.z,KeyPress,TargetName,TargetPosition.x,TargetPosition.y,TargetPosition.z
2024-07-08T15:13:59.0220726-07:00,1720476839022072600,Null,-0.01715696,0.01126756,0.004560009,0.04602833,0.09653642,0.9942646,-0.04831262,0.0230995,0.001079939,-0.007961517,0.01124533,0.01321129,0.02696983,-0.05674229,0.9980246,None,t_3_2_3 (1),0,-0.3022993,2.12
2024-07-08T15:13:59.0751324-07:00,1720476839075132400,Null,-0.01704608,0.01137791,0.004509591,0.04376714,0.09709656,0.9943122,-0.04859402,0.02196668,0.001066776,-0.007955131,0.01121666,0.01320726,0.02584272,-0.06101402,0.9978023,None,t_3_2_3 (1),0,-0.3022993,2.12
2024-07-08T15:13:59.1235057-07:00,1720476839123505700,Null,-0.01710059,0.01108386,0.004533231,0.04328561,0.09746302,0.9942974,-0.04877472,0.02173311,0.001215546,-0.0081629,0.01117401,0.01320923,0.02494475,-0.06551819,0.9975395,None,t_3_2_3 (1),0,-0.3022993,2.12
2024-07-08T15:13:59.1752975-07:00,1720476839175297500,Null,-0.01683188,0.01148366,0.004519731,0.04268992,0.09897383,0.9941739,-0.04953753,0.02142618,0.001008931,-0.00837352,0.01114916,0.01321169,0.02410045,-0.06973623,0.9972743,None,t_3_2_3 (1),0,-0.3022993,2.12
2024-07-08T15:13:59.2222982-07:00,1720476839222298200,Null,-0.01675539,0.01140355,0.004620939,0.04427768,0.09924407,0.9940775,-0.04968977,0.02218491,0.0002655832,-0.008555756,0.01112155,0.01321914,0.02334578,-0.07373374,0.9970047,None,t_3_2_3 (1),0,-0.3022993,2.12
2024-07-08T15:13:59.2702998-07:00,1720476839270299800,Null,-0.01666818,0.01139019,0.004690789,0.04708893,0.09781688,0.9940898,-0.04897075,0.02360034,0.0004282367,-0.008700056,0.01109353,0.01322959,0.02274501,-0.07763867,0.9967221,None,t_3_2_3 (1),0,-0.3022993,2.12
2024-07-08T15:13:59.3208470-07:00,1720476839320847000,Null,-0.01684156,0.01115996,0.00460995,0.04573919,0.09749661,0.9941843,-0.04880628,0.02293072,0.0005688117,-0.008822417,0.01105681,0.01323738,0.02205167,-0.08139478,0.9964379,None,t_3_2_3 (1),0,-0.3022993,2.12
2024-07-08T15:13:59.3709869-07:00,1720476839370986900,Null,-0.01681159,0.0112284,0.00468988,0.04342647,0.09706294,0.9943304,-0.04859316,0.02176027,0.0003327006,-0.01273295,0.01022308,0.01355865,0.003239741,-0.1710482,0.9852573,None,t_3_2_3 (1),0,-0.3022993,2.12
2024-07-08T15:13:59.4194794-07:00,1720476839419479400,Null,-0.01680721,0.01116253,0.00464166,0.04313309,0.09585866,0.99446,-0.04797506,0.02164263,0.0009605238,-0.0127102,0.01022492,0.01355483,0.003148691,-0.1710757,0.9852529,None,t_3_2_3 (1),0,-0.3022993,2.12
2024-07-08T15:13:59.4730671-07:00,1720476839473067100,Null,-0.01681425,0.01133712,0.004545689,0.04331013,0.09612918,0.9944262,-0.04811448,0.0217235,0.0007925626,-0.01259985,0.01023052,0.01354654,0.002999272,-0.1709818,0.9852697,None,t_3_2_3 (1),0,-0.3022993,2.12
